COUNTYA,AQPZE001,AQPZE002,AQPZE003,AQPZE004,AQPZE005,AQPZE006,AQPZE007,AQPZE008,AQP6E001,AQTOE001,AQTOE002,AQTOE003,AQTOE004,AQTOE005,AQTOE006,AQTOE007,AQTOE008,AQTOE009,AQTOE010,AQTOE011,AQTOE012,AQTOE013,AQUSE001,AQUYE001,AQUYE002,AQUYE003,AQUYE004,AQUYE005,AQUYE006,AQUYE007,AQUYE008,AQUYE009,AQUYE010,AQUYE011,AQU4E001,AQVWE001,AQVWE002,AQVWE003,AQVWE004,AQVWE005,AQVWE006,AQVWE007,AQVWE008,AQVWE009,AQVWE010,AQVWE011,AQVWE012,AQVWE013
63,19331,978,1123,856,519,1273,575,14007,67885,8104,6023,4991,959,73,0,0,2081,1189,747,94,51,0,1102,2081,258,200,215,180,226,171,93,92,442,204,310100,8104,3455,897,385,0,2568,327,167,74,2081,791,442,204
65,2392682,121393,151039,97483,101144,161696,66300,1693627,84505,749976,513821,334906,152648,20226,4191,1850,236155,108818,98106,19006,7343,2882,1711,236155,5341,14124,23879,26914,22455,23392,17319,24984,64727,13020,462900,749976,356027,130155,56146,2497,157794,27556,12952,2857,236155,124488,62797,13020
67,1560173,99114,105274,59904,62314,88657,38026,1106884,84010,563856,328664,231376,87076,7579,2002,631,235192,124232,88837,14055,6276,1792,1599,235192,5652,16264,25882,28081,25157,20950,17284,23482,61279,11161,465900,563856,230375,70365,27489,895,98289,12377,6606,1137,235192,117999,59394,11161
69,64339,2192,2640,2282,2128,2842,1942,50313,104451,19852,13087,8492,4071,381,112,31,6765,2741,3167,609,197,51,1830,6765,270,535,914,704,829,621,450,693,1401,348,703200,19852,9756,4051,1344,49,3331,508,170,19,6765,3018,1369,348
71,2135785,136306,157940,99538,107858,150650,64820,1418673,77423,659928,403105,244127,135042,17487,4667,1782,256823,110348,110470,23936,9317,2752,1584,256823,6487,14838,25680,29019,27788,23427,17446,26804,72807,12527,438000,659928,282198,99353,40167,1217,120907,16396,7767,1674,256823,134680,70841,12527
73,3204475,165629,173123,108971,113581,155737,70166,2417268,96974,1149157,623317,433650,167513,16578,4055,1521,525840,249103,220127,34541,17025,5044,2011,525840,10612,29628,54251,61211,60840,48900,37001,53307,148226,21864,725200,1149157,437805,159928,67184,2252,185512,28862,14518,2934,525840,276728,144384,21864
75,837888,45072,42777,24434,23327,25835,12314,664129,136689,360842,139117,94267,38987,3714,1612,537,221725,112119,91420,5884,8724,3578,2316,221725,19368,30707,32477,29484,22388,16099,10108,14094,38401,8599,1348700,360842,88993,30142,14792,484,50124,7219,4535,857,221725,75042,37016,8599
77,763754,43129,55223,32130,36114,46632,25868,524658,82837,237423,142391,89645,44606,6068,1496,576,95032,41324,41582,8441,2983,702,1542,95032,2913,6820,10337,12091,10153,9453,6537,8762,22463,5503,462000,237423,99882,33034,14109,383,42509,5985,3110,591,95032,44940,21997,5503
79,268028,18414,15314,7459,7574,11977,5124,202166,90158,108099,67031,51695,13858,1106,190,182,41068,23195,15451,1560,694,168,1800,41068,1041,2350,4508,4473,4411,3847,2794,4031,11181,2432,726700,108099,42654,15599,7009,242,24377,3707,2002,277,41068,21108,11096,2432
81,748410,24826,23311,14284,15039,22774,10055,638121,149907,264323,157368,107221,45198,3448,1056,445,106955,45943,46595,7229,5342,1846,2805,106955,4706,9566,13873,13546,11295,7970,5522,9822,26396,4259,1441300,264323,107054,35886,16453,427,50314,6887,3563,745,106955,48160,25616,4259
83,425067,30313,27200,18598,19812,25131,11834,292179,92332,148032,78168,54331,19921,2733,610,573,69864,30284,28281,6557,3522,1220,1964,69864,1852,4044,7309,8309,7260,6462,5195,6874,19113,3446,714800,148032,50129,17465,7466,147,28039,4535,2511,411,69864,36279,18486,3446
85,1886562,67081,62753,37658,39363,59863,28397,1591447,153792,650352,361551,236147,113176,9036,2388,804,288801,116952,133392,21915,12856,3686,2719,288801,14733,31095,39425,38575,30617,24263,18581,22828,58096,10588,1316800,650352,246058,75240,31476,937,115493,15794,8662,1189,288801,118410,56699,10588
87,257415,15250,14052,7794,9042,14285,5465,191527,104409,96487,57852,40828,15153,1493,232,146,38635,17667,16282,2513,1430,743,2094,38635,1695,2550,4300,4006,4661,3008,2243,3181,10733,2258,951300,96487,37818,13675,6046,191,20034,3554,1981,158,38635,18498,10527,2258
89,178820,11684,12069,7889,7033,12621,4841,122683,68347,71107,46257,34793,10410,853,159,42,24850,15117,8542,797,317,77,1232,24850,971,2146,2762,3196,2584,2113,1388,1898,5978,1814,327500,71107,28422,9359,4065,88,17835,3216,1493,148,24850,10990,5826,1814
91,2854,22,337,104,101,117,39,2134,61108,1135,940,791,144,5,0,0,195,93,81,21,0,0,1184,195,5,0,21,0,52,26,0,16,10,65,289400,1135,548,215,174,4,392,57,28,0,195,52,10,65
